insider,title,transaction_date,filing_date,shares,price,value_usd,acquired_disposed,transaction_code,shares_owned_after,is_10b5_1,is_director,is_officer,accession,source_path
Rothenstein David M,SVP and Chief Strategy Officer,2025-12-20,2025-12-23,2091,230.34,481640.94,D,F,206251,False,False,True,0001444157-25-000033,https://www.sec.gov/Archives/edgar/data/936395/000144415725000033/0001444157-25-000033.txt
Rothenstein David M,SVP and Chief Strategy Officer,2025-12-20,2025-12-23,1557,230.34,358639.38,D,F,204694,False,False,True,0001444157-25-000033,https://www.sec.gov/Archives/edgar/data/936395/000144415725000033/0001444157-25-000033.txt
Phipps Jason,SVP Global Sales and Marketing,2025-12-20,2025-12-23,741,230.34,170681.94,D,F,130717,False,False,True,0001699193-25-000023,https://www.sec.gov/Archives/edgar/data/936395/000169919325000023/0001699193-25-000023.txt
Phipps Jason,SVP Global Sales and Marketing,2025-12-20,2025-12-23,867,230.34,199704.78,D,F,129850,False,False,True,0001699193-25-000023,https://www.sec.gov/Archives/edgar/data/936395/000169919325000023/0001699193-25-000023.txt
Phipps Jason,SVP Global Sales and Marketing,2025-12-20,2025-12-23,508,230.34,117012.72,D,F,129342,False,False,True,0001699193-25-000023,https://www.sec.gov/Archives/edgar/data/936395/000169919325000023/0001699193-25-000023.txt
Phipps Jason,SVP Global Sales and Marketing,2025-12-20,2025-12-23,489,230.34,112636.26,D,F,128853,False,False,True,0001699193-25-000023,https://www.sec.gov/Archives/edgar/data/936395/000169919325000023/0001699193-25-000023.txt
Phipps Jason,SVP Global Sales and Marketing,2025-12-20,2025-12-23,9484,230.34,2184544.56,D,F,119369,False,False,True,0001699193-25-000023,https://www.sec.gov/Archives/edgar/data/936395/000169919325000023/0001699193-25-000023.txt
Phipps Jason,SVP Global Sales and Marketing,2025-12-20,2025-12-23,2120,230.34,488320.8,D,F,117249,False,False,True,0001699193-25-000023,https://www.sec.gov/Archives/edgar/data/936395/000169919325000023/0001699193-25-000023.txt
Phipps Jason,SVP Global Sales and Marketing,2025-12-20,2025-12-23,2437,230.34,561338.58,D,F,114812,False,False,True,0001699193-25-000023,https://www.sec.gov/Archives/edgar/data/936395/000169919325000023/0001699193-25-000023.txt
Phipps Jason,SVP Global Sales and Marketing,2025-12-20,2025-12-23,1664,230.34,383285.76,D,F,113148,False,False,True,0001699193-25-000023,https://www.sec.gov/Archives/edgar/data/936395/000169919325000023/0001699193-25-000023.txt
