2026-07-02T01:39:20.137949 Starting download for MCO
2026-07-02T01:41:37.692303 OK 1,335,550 bytes -> /workspace/MCO/investor-documents/ir-mco/MCO-Investor-Presentation-3Q-2012-FINAL-v3.pdf
2026-07-02T01:41:38.961247 OK 1,833,700 bytes -> /workspace/MCO/investor-documents/ir-mco/1001188328.pdf
2026-07-02T01:41:40.595378 OK 947,882 bytes -> /workspace/MCO/investor-documents/ir-mco/1001188391.pdf
2026-07-02T01:41:42.449005 OK 1,442,678 bytes -> /workspace/MCO/investor-documents/ir-mco/1051a444-220d-437a-849f-5022278c77ca.pdf
2026-07-02T01:41:42.980292 OK 64,503 bytes -> /workspace/MCO/investor-documents/ir-mco/1500061772.pdf
2026-07-02T01:41:43.673433 OK 1,030,698 bytes -> /workspace/MCO/investor-documents/ir-mco/1001188395.pdf
2026-07-02T01:41:48.961379 OK 1,636,423 bytes -> /workspace/MCO/investor-documents/ir-mco/1001188974.pdf
2026-07-02T01:41:49.748395 OK 164,480 bytes -> /workspace/MCO/investor-documents/ir-mco/1500071804.pdf
2026-07-02T01:41:50.541104 OK 617,372 bytes -> /workspace/MCO/investor-documents/ir-mco/c860f6ef-fa2d-4c3f-ab41-2b1e1a811e1f.pdf
2026-07-02T01:41:51.309159 OK 1,671,711 bytes -> /workspace/MCO/investor-documents/ir-mco/1001188398.pdf
2026-07-02T01:41:55.399574 OK 1,980,481 bytes -> /workspace/MCO/investor-documents/ir-mco/1001188975.pdf
2026-07-02T01:41:55.964393 OK 149,670 bytes -> /workspace/MCO/investor-documents/ir-mco/1500071805.pdf
2026-07-02T01:41:57.866176 OK 756,443 bytes -> /workspace/MCO/investor-documents/ir-mco/d8172f3e-14a4-4944-8cbb-4ee096e6581a.pdf
2026-07-02T01:41:58.637906 OK 1,552,349 bytes -> /workspace/MCO/investor-documents/ir-mco/1001188350.pdf
2026-07-02T01:42:00.467583 OK 1,187,327 bytes -> /workspace/MCO/investor-documents/ir-mco/1001188401.pdf
2026-07-02T01:42:01.406179 OK 591,685 bytes -> /workspace/MCO/investor-documents/ir-mco/1001188535.pdf
2026-07-02T01:42:02.528264 OK 774,215 bytes -> /workspace/MCO/investor-documents/ir-mco/13c8156e-727f-4daf-bf79-4dfde826c156.pdf
2026-07-02T01:42:03.189617 OK 74,955 bytes -> /workspace/MCO/investor-documents/ir-mco/1500062021.pdf
2026-07-02T01:42:03.802318 OK 158,658 bytes -> /workspace/MCO/investor-documents/ir-mco/1500071806.pdf
