Date,nikkei,topix,value_pbr,growth,reit,leveraged,usdjpy,value_spread
2024-02-27 15:00:00,39372.703125,2786.997314453125,1066.6456298828125,606.7999877929688,1609.394775390625,28810.0,,
2024-02-28 00:00:00,,,,,,,150.4949951171875,
2024-02-28 15:00:00,39363.0234375,2792.9716796875,1066.6456298828125,603.5,1594.854736328125,28805.0,,
2024-02-29 00:00:00,,,,,,,150.656005859375,
2024-02-29 15:00:00,40108.27734375,2822.34521484375,1079.8841552734375,598.0,1587.130615234375,29905.0,,
2024-03-01 00:00:00,,,,,,,150.09500122070312,
2024-03-03 15:00:00,40282.4921875,2822.34521484375,1075.156005859375,598.5,1597.581298828125,30160.0,,
2024-03-04 00:00:00,,,,,,,150.10499572753906,
2024-03-04 15:00:00,40321.20703125,2836.28515625,1082.720947265625,599.9000244140625,1594.854736328125,30170.0,,
2024-03-05 00:00:00,,,,,,,150.46600341796875,
2024-03-05 15:00:00,40282.4921875,2846.2421875,1092.177001953125,604.7000122070312,1599.8531494140625,30170.0,,
2024-03-06 00:00:00,,,,,,,150.0489959716797,
2024-03-06 15:00:00,39759.84765625,2832.800048828125,1094.068115234375,592.4000244140625,1577.134521484375,29395.0,,
2024-03-07 00:00:00,,,,,,,149.2689971923828,
2024-03-07 15:00:00,39827.59765625,2838.7744140625,1106.361083984375,584.7000122070312,1577.588623046875,29500.0,,
2024-03-08 00:00:00,,,,,,,147.8679962158203,
2024-03-10 15:00:00,39014.58984375,2779.529541015625,1077.0472412109375,572.5,1578.95166015625,28220.0,,
2024-03-11 00:00:00,,,,,,,146.7740020751953,
