date,ticker,shares,nav_jpy,aum_jpym,aum_method,tag,creation_unit_shares,redemption_unit_shares
2021-04-19,1551.T,,5279.61474609375,13613.735996592352,[Filing/Derived],[Filing/Derived],"16,000（注2）","16,000（注2）"
2021-04-20,1551.T,,5183.09423828125,13364.853308212749,[Filing/Derived],[Filing/Derived],"16,000（注2）","16,000（注2）"
2021-04-21,1551.T,,5096.2265625,13140.860903161134,[Filing/Derived],[Filing/Derived],"16,000（注2）","16,000（注2）"
2021-04-22,1551.T,,5260.31005859375,13563.957948048912,[Filing/Derived],[Filing/Derived],"16,000（注2）","16,000（注2）"
2021-04-23,1551.T,,5173.44287109375,13339.966802053563,[Filing/Derived],[Filing/Derived],"16,000（注2）","16,000（注2）"
2021-04-26,1551.T,,5241.005859375,13514.18115856174,[Filing/Derived],[Filing/Derived],"16,000（注2）","16,000（注2）"
2021-04-27,1551.T,,5192.74609375,13389.741073428202,[Filing/Derived],[Filing/Derived],"16,000（注2）","16,000（注2）"
2021-04-28,1551.T,,5212.05029296875,13439.517862915376,[Filing/Derived],[Filing/Derived],"16,000（注2）","16,000（注2）"
2021-04-30,1551.T,,5183.09423828125,13364.853308212749,[Filing/Derived],[Filing/Derived],"16,000（注2）","16,000（注2）"
2021-05-06,1551.T,,5202.3984375,13414.630097699923,[Filing/Derived],[Filing/Derived],"16,000（注2）","16,000（注2）"
2021-05-07,1551.T,,5154.138671875,13290.190012566389,[Filing/Derived],[Filing/Derived],"16,000（注2）","16,000（注2）"
2021-05-10,1551.T,,5125.1826171875,13215.52545786376,[Filing/Derived],[Filing/Derived],"16,000（注2）","16,000（注2）"
2021-05-11,1551.T,,5076.92333984375,13091.086631786491,[Filing/Derived],[Filing/Derived],"16,000（注2）","16,000（注2）"
2021-05-12,1551.T,,4961.10009765625,12792.430931088515,[Filing/Derived],[Filing/Derived],"16,000（注2）","16,000（注2）"
2021-05-13,1551.T,,4825.97265625,12443.998440903364,[Filing/Derived],[Filing/Derived],"16,000（注2）","16,000（注2）"
2021-05-14,1551.T,,4932.14404296875,12717.766376385887,[Filing/Derived],[Filing/Derived],"16,000（注2）","16,000（注2）"
2021-05-17,1551.T,,4792.19091796875,12356.890633121142,[Filing/Derived],[Filing/Derived],"16,000（注2）","16,000（注2）"
2021-05-18,1551.T,,4797.0166015625,12369.333886200735,[Filing/Derived],[Filing/Derived],"16,000（注2）","16,000（注2）"
2021-05-19,1551.T,,4801.84326171875,12381.779657392863,[Filing/Derived],[Filing/Derived],"16,000（注2）","16,000（注2）"
2021-05-20,1551.T,,4903.18798828125,12643.10182168326,[Filing/Derived],[Filing/Derived],"16,000（注2）","16,000（注2）"
2021-05-21,1551.T,,4970.751953125,12817.318696303968,[Filing/Derived],[Filing/Derived],"16,000（注2）","16,000（注2）"
2021-05-24,1551.T,,4903.18798828125,12643.10182168326,[Filing/Derived],[Filing/Derived],"16,000（注2）","16,000（注2）"
2021-05-25,1551.T,,4912.83984375,12667.989586898713,[Filing/Derived],[Filing/Derived],"16,000（注2）","16,000（注2）"
2021-05-26,1551.T,,4893.53564453125,12618.21279741154,[Filing/Derived],[Filing/Derived],"16,000（注2）","16,000（注2）"
2021-05-27,1551.T,,4932.14404296875,12717.766376385887,[Filing/Derived],[Filing/Derived],"16,000（注2）","16,000（注2）"
2021-05-28,1551.T,,4932.14404296875,12717.766376385887,[Filing/Derived],[Filing/Derived],"16,000（注2）","16,000（注2）"
2021-05-31,1551.T,,4941.7958984375,12742.65414160134,[Filing/Derived],[Filing/Derived],"16,000（注2）","16,000（注2）"
2021-06-01,1551.T,,4893.53564453125,12618.21279741154,[Filing/Derived],[Filing/Derived],"16,000（注2）","16,000（注2）"
2021-06-02,1551.T,,4893.53564453125,12618.21279741154,[Filing/Derived],[Filing/Derived],"16,000（注2）","16,000（注2）"
2021-06-03,1551.T,,4951.4482421875,12767.54316587306,[Filing/Derived],[Filing/Derived],"16,000（注2）","16,000（注2）"
2021-06-04,1551.T,,4941.7958984375,12742.65414160134,[Filing/Derived],[Filing/Derived],"16,000（注2）","16,000（注2）"
2021-06-07,1551.T,,5009.35986328125,12916.87101622205,[Filing/Derived],[Filing/Derived],"16,000（注2）","16,000（注2）"
2021-06-08,1551.T,,5019.01171875,12941.758781437504,[Filing/Derived],[Filing/Derived],"16,000（注2）","16,000（注2）"
2021-06-09,1551.T,,5028.66357421875,12966.646546652957,[Filing/Derived],[Filing/Derived],"16,000（注2）","16,000（注2）"
2021-06-10,1551.T,,5038.3154296875,12991.53431186841,[Filing/Derived],[Filing/Derived],"16,000（注2）","16,000（注2）"
2021-06-11,1551.T,,5028.66357421875,12966.646546652957,[Filing/Derived],[Filing/Derived],"16,000（注2）","16,000（注2）"
2021-06-14,1551.T,,5086.57470703125,13115.97313794568,[Filing/Derived],[Filing/Derived],"16,000（注2）","16,000（注2）"
2021-06-15,1551.T,,5134.83447265625,13240.413223079215,[Filing/Derived],[Filing/Derived],"16,000（注2）","16,000（注2）"
2021-06-16,1551.T,,5134.83447265625,13240.413223079215,[Filing/Derived],[Filing/Derived],"16,000（注2）","16,000（注2）"
2021-06-17,1551.T,,5115.53125,13190.638951704572,[Filing/Derived],[Filing/Derived],"16,000（注2）","16,000（注2）"
2021-06-18,1551.T,,5105.87890625,13165.749927432853,[Filing/Derived],[Filing/Derived],"16,000（注2）","16,000（注2）"
2021-06-21,1551.T,,5038.3154296875,12991.53431186841,[Filing/Derived],[Filing/Derived],"16,000（注2）","16,000（注2）"
2021-06-22,1551.T,,5173.44287109375,13339.966802053563,[Filing/Derived],[Filing/Derived],"16,000（注2）","16,000（注2）"
