2026-06-03T18:17:27.433651 Starting download for PBT
2026-06-03T18:18:02.643721 OK 57,491 bytes -> /workspace/PBT/investor-documents/sec-edgar/8-K_20230808_exhibit_evbn-20230808xex99_1g010.jpg_acc0000842518_23_000045.jpg
2026-06-03T18:18:03.017985 OK 54,077 bytes -> /workspace/PBT/investor-documents/sec-edgar/8-K_20230808_exhibit_evbn-20230808xex99_1g011.jpg_acc0000842518_23_000045.jpg
2026-06-03T18:18:03.327193 OK 41,121 bytes -> /workspace/PBT/investor-documents/sec-edgar/8-K_20230808_exhibit_evbn-20230808xex99_1g012.jpg_acc0000842518_23_000045.jpg
2026-06-03T18:18:03.603307 OK 53,182 bytes -> /workspace/PBT/investor-documents/sec-edgar/8-K_20230808_exhibit_evbn-20230808xex99_1g013.jpg_acc0000842518_23_000045.jpg
2026-06-03T18:18:03.865842 OK 49,708 bytes -> /workspace/PBT/investor-documents/sec-edgar/8-K_20230808_exhibit_evbn-20230808xex99_1g014.jpg_acc0000842518_23_000045.jpg
2026-06-03T18:18:04.226684 OK 53,233 bytes -> /workspace/PBT/investor-documents/sec-edgar/8-K_20230808_exhibit_evbn-20230808xex99_1g015.jpg_acc0000842518_23_000045.jpg
2026-06-03T18:18:04.515472 OK 46,634 bytes -> /workspace/PBT/investor-documents/sec-edgar/8-K_20230808_exhibit_evbn-20230808xex99_1g016.jpg_acc0000842518_23_000045.jpg
2026-06-03T18:18:04.809947 OK 56,596 bytes -> /workspace/PBT/investor-documents/sec-edgar/8-K_20230808_exhibit_evbn-20230808xex99_1g017.jpg_acc0000842518_23_000045.jpg
2026-06-03T18:18:05.116206 OK 71,209 bytes -> /workspace/PBT/investor-documents/sec-edgar/8-K_20230808_exhibit_evbn-20230808xex99_1g018.jpg_acc0000842518_23_000045.jpg
2026-06-03T18:18:05.497473 OK 25,549 bytes -> /workspace/PBT/investor-documents/sec-edgar/8-K_20230808_exhibit_evbn-20230808xex99_1g019.jpg_acc0000842518_23_000045.jpg
2026-06-03T18:18:05.869228 OK 90,131 bytes -> /workspace/PBT/investor-documents/sec-edgar/8-K_20230808_exhibit_evbn-20230808xex99_1g020.jpg_acc0000842518_23_000045.jpg
2026-06-03T18:18:06.272465 OK 103,268 bytes -> /workspace/PBT/investor-documents/sec-edgar/8-K_20230808_exhibit_evbn-20230808xex99_1g021.jpg_acc0000842518_23_000045.jpg
2026-06-03T18:18:06.560257 OK 65,225 bytes -> /workspace/PBT/investor-documents/sec-edgar/8-K_20230808_exhibit_evbn-20230808xex99_1g022.jpg_acc0000842518_23_000045.jpg
2026-06-03T18:18:06.995951 OK 72,151 bytes -> /workspace/PBT/investor-documents/sec-edgar/8-K_20230808_exhibit_evbn-20230808xex99_1g023.jpg_acc0000842518_23_000045.jpg
2026-06-03T18:18:07.384420 OK 84,761 bytes -> /workspace/PBT/investor-documents/sec-edgar/8-K_20230808_exhibit_evbn-20230808xex99_1g024.jpg_acc0000842518_23_000045.jpg
2026-06-03T18:18:07.590568 OK 80,863 bytes -> /workspace/PBT/investor-documents/sec-edgar/8-K_20230727_rpt20230727_acc0000842518_23_000039.htm
2026-06-03T18:18:08.406591 OK 1,188,336 bytes -> /workspace/PBT/investor-documents/sec-edgar/8-K_20230727_exhibit_evbn-20230727xex99_1.htm_acc0000842518_23_000039.htm
2026-06-03T18:18:08.590284 OK 86,104 bytes -> /workspace/PBT/investor-documents/sec-edgar/8-K_20230503_rpt20230502_acc0000842518_23_000034.htm
2026-06-03T18:18:09.011400 OK 80,866 bytes -> /workspace/PBT/investor-documents/sec-edgar/8-K_20230427_rpt20230427_acc0000842518_23_000028.htm
2026-06-03T18:18:09.364753 OK 1,170,433 bytes -> /workspace/PBT/investor-documents/sec-edgar/8-K_20230427_exhibit_evbn-20230427xex99_1.htm_acc0000842518_23_000028.htm
2026-06-03T18:18:09.554134 OK 75,243 bytes -> /workspace/PBT/investor-documents/sec-edgar/8-K_20230223_rpt20230223_acc0000842518_23_000011.htm
2026-06-03T18:18:09.802196 SEC filings downloaded: 117
2026-06-03T18:18:16.260100 IR PDF URLs found: 2
2026-06-03T18:18:16.424738 OK 152,410 bytes -> /workspace/PBT/investor-documents/ir-pbt/May-2026-PR-PBT.pdf
2026-06-03T18:18:16.596624 OK 2,588,146 bytes -> /workspace/PBT/investor-documents/ir-pbt/Permian1Q2026.pdf
2026-06-03T18:18:16.597313 Done PBT. SEC=117 IR=2/2
